edu,pos_
0,accessible
1,accomplish
2,accurate
3,accurately
4,achievement
5,achievements
6,adaptable
7,adaptive
8,addict
9,addict
10,adequate
11,adjustable
12,adorable
13,adore
14,advanced
15,advantage
16,advantages
17,afford
18,affordable
19,agreeable
20,alive
21,amaze
22,amazed
23,amazement
24,amazes
25,amazing
26,amazingly
27,ample
28,amused
29,angel
30,appeal
31,appreciate
32,appreciated
33,appropriate
34,approve
35,astounding
36,attractive
37,audible
38,available
39,avid
40,awards
41,awesome
42,balanced
43,beautiful
44,beautifully
45,beneficial
46,benefit
47,benefits
48,better
49,bonus
50,bonuses
51,boom
52,booming
53,boost
54,brave
55,bravo
56,brighter
57,brightest
58,brilliant
59,calmness
60,capability
61,capable
62,careful
63,challenging
64,champ
65,charm
66,cheap
67,cheaper
68,cheapest
69,clarity
70,classy
71,clean
72,cleaner
73,clear
74,clearer
75,clearly
76,clever
77,coherent
78,colorful
79,comfortable
80,comfortably
81,comforting
82,compact
83,compatible
84,competitive
85,complement
86,compliment
87,concise
88,confident
89,considerate
90,consistent
91,consistently
92,conveni
93,convincing
94,cool
95,coolest
96,creative
97,crisp
98,crisper
99,cute
100,damaged
101,dead
102,decent
103,dedicated
104,defeat
105,defender
106,delicate
107,delicious
108,delighted
109,delightful
110,dependable
111,detachable
112,distinction
113,durable
114,dynamic
115,eager
116,ease
117,easier
118,easiest
119,easily
120,easiness
121,easy
122,economical
123,educational
124,effective
125,effectively
126,efficient
127,efficiently
128,effortlessly
129,elegant
130,elite
131,encourage
132,enhance
133,enjoy
134,entertain
135,entertaining
136,enthusiasm
137,enthusiast
138,entice
139,enticed
140,evenly
141,exceed
142,exceeds
143,excellent
144,exceptional
145,excit
146,excited
147,excitedly
148,exclusive
149,expandable
150,expansive
151,fabulous
152,fair
153,fairly
154,fan
155,fancier
156,fancy
157,fans
158,fantastic
159,fantastically
160,fast
161,faster
162,fastest
163,favor
164,favorite
165,fine
166,flawless
167,flawlessly
168,flexibility
169,foremost
170,free
171,freedom
172,fresh
173,friendly
174,frugal
175,fun
176,gains
177,glad
178,glamorous
179,godsend
180,good
181,goodness
182,gorgeous
183,graceful
184,great
185,greatest
186,guarantee
187,handy
188,happier
189,happy
190,harmony
191,help
192,helpful
193,hilarious
194,honest
195,hot
196,hottest
197,ideal
198,important
199,impress
200,improv
201,incredible
202,indestructible
203,inexpensive
204,innovative
205,integrated
206,intellig
207,interesting
208,intuitive
209,invaluable
210,joke
211,jolly
212,joy
213,kill
214,killer
215,knowledgeable
216,lead
217,lifesaver
218,lighter
219,liked
220,likely
221,liking
222,limitless
223,love
224,lucky
225,luxurious
226,magical
227,magnificent
228,mammoth
229,manageable
230,marvelous
231,master
232,masterpiece
233,miracle
234,modern
235,modest
236,neat
237,nice
238,nicer
239,nifty
240,noble
241,novelty
242,oasis
243,outdone
244,outperform
245,outstanding
246,peac
247,peaceful
248,perfect
249,perfectly
250,personalized
251,pleasant
252,pleasantly
253,pleased
254,pleasure
255,polite
256,popular
257,portable
258,positive
259,powerful
260,praise
261,precise
262,prefer
263,pretty
264,pro
265,productively
266,progress
267,promis
268,proper
269,properly
270,protect
271,proud
272,proven
273,pure
274,quick
275,quicker
276,quiet
277,quieter
278,readable
279,reasonable
280,reasonably
281,recommend
282,refined
283,relax
284,reliable
285,relieved
286,remarkable
287,replaceable
288,reputable
289,responsive
290,reward
291,rich
292,right
293,robust
294,safe
295,satifactory
296,satisfi
297,satisfying
298,saver
299,savvy
300,seamless
301,secure
302,securely
303,sensation
304,sensitive
305,serv
306,sharp
307,sharper
308,shimmering
309,significant
310,simplest
311,simplified
312,sleek
313,slick
314,slim
315,slimmer
316,smarter
317,smile
318,smooth
319,snap
320,snappy
321,soft
322,solid
323,solv
324,solves
325,spectacular
326,speedy
327,stable
328,steady
329,steal
330,stellar
331,streamlined
332,strong
333,stronger
334,stunning
335,sturdier
336,sturdy
337,stylish
338,subsidize
339,substantial
340,succeed
341,success
342,suffice
343,sufficient
344,suitable
345,superb
346,superior
347,support
348,sweet
349,tempting
350,terrific
351,thank
352,thinner
353,thrilled
354,top
355,tough
356,tranquil
357,unbeatable
358,unconditional
359,understandable
360,unlimited
361,upgraded
362,usable
363,useful
364,valuable
365,versatil
366,vibrant
367,victorious
368,vivid
369,welcome
370,well
371,willing
372,willingness
373,win
374,winner
375,wise
376,wisely
377,wonder
378,wonderful
379,wonderfully
380,wonders
381,woo
382,worth
383,worthwhile
384,worthy
385,wow
386,yummy
387,zippy
