itemId,itemname,Category
1,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Kindle
2,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,TV
3,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Adapter
4,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Tablet
5,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Tablet
6,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",Tablet
7,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Tablet
8,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",Tablet
9,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",Kindle
10,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Tablet
11,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Speaker
12,Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,Kindle
13,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",Tablet
14,"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers",Tablet
15,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",Tablet
16,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Tablet
17,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Kindle
18,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Kindle
19,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Kindle
20,Amazon - Echo Plus w/ Built-In Hub - Silver,Speaker
21,"Amazon - Kindle Voyage - 6"" - 4GB - Black",Kindle
22,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers",Tablet
23,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Speaker
24,TCL 32S325 32 Inch 720p Roku Smart LED TV (2019) ,TV
25,Insignia NS-39DF510NA19 39-inch 1080p Full HD Smart LED TV- Fire TV Edition ,TV
26,"vizio d39hn-e0 d-class 39"" class full-array led tv (certified refurbished)",TV
27,Samsung Electronics UN32N5300AFXZA 32inch 1080p Smart LED TV (2018) Black (Certified Refurbished) ,TV
28,"Jensen JE3217 32"" LED AC Television with Integrated HDTV (ATSC) Tuner and Remote Control, 1366 x 768 WXGA+ Resolution, HDTV Ready (1080p, 720p, & 480p), High Performance Wide 16:9 LCD panel, 110V AC ",TV
29,"Sceptre 65"" Class 4K (2160P) LED TV (U650CV-U) ",TV
30,Echo Spot Adjustable Stand - White ,Speaker
31,"Bose Home Speaker 500 with Alexa voice control built-in, Black",Speaker
32,"Bose Wave SoundTouch Music System IV, works with Alexa, Espresso Black ",Speaker
33,"Echo Dot (3rd Gen) - Smart speaker with Alexa, now with improved sound and design - Charcoal ",Speaker
34,"Alexa Bluetooth Smart Speaker XL-V, A Multi-Room Audio Speaker with WiFi Compatibility for Streaming Music from Spotify, iTunes, Pandora, Sirius, Etc. and Smart Home Control ",Speaker
35,Roll over image to zoom in Ultimate Ears BOOM 2 LE Limited Edition Wireless Speaker Phantom ,Speaker
36,"Travel Adapter,WGGE Multi-Nation Travel Adapter, All-in-one International Power Adapter with 2.4A Dual USB,Worldwide Power Adapter Wall Charger for US,UK,EU,AU,Asia Cover More than150 Countries ",Adapter
37,Power Plug Adapter - International Travel - w/USB Ports Work for 150+ Countries - 220 Volt Adapter - Travel Adapter Type C Type A Type G Type I f for UK Japan China EU Europe European by SublimeWare ,Adapter
38,"Foval Power Step Down 220V to 110V Voltage Converter with 4-Port USB International Power Travel Adapter in UK European Italy Asia etc, More Than 150 Countries Over The World ",Adapter
39,"Unidapt Universal Travel Power Adapter, European Adapter, Fast 2,4A 4-USB Worldwide International Power Charger, AC Wall Plug Adapter – All in One for US, UK, EU, AUS & Asia by Unidapt ",Adapter
40,"Travel Adapter, 2400W International Power Adapter, Universal Adapter with 4 USB Ports, Perfect for UK, EU, AU, US, Over 150 Countries (Black) ",Adapter
