itemId,itemname,Category,URL
24,TCL 32S325 32 Inch 720p Roku Smart LED TV (2019) ,TV,https://www.amazon.com/TCL-32S325-Inch-720p-Smart/dp/B07G9XZ83W/ref=cm_cr_arp_d_product_top?ie=UTF8
25,Insignia NS-39DF510NA19 39-inch 1080p Full HD Smart LED TV- Fire TV Edition ,TV,https://www.amazon.com/Insignia-NS-39DF510NA19-39-inch-1080p-Smart/dp/B07FPVT57H/ref=sr_1_3?keywords=smart+tv&qid=1553176125&s=gateway&sr=8-3#customerReviews
26,"vizio d39hn-e0 d-class 39"" class full-array led tv (certified refurbished)",TV,https://www.amazon.com/dp/B01N6HUSBU/ref=sspa_dk_detail_3?psc=1&smid=A1PG34MMNCGR6R
27,Samsung Electronics UN32N5300AFXZA 32inch 1080p Smart LED TV (2018) Black (Certified Refurbished) ,TV,https://www.amazon.com/Samsung-Electronics-UN32N5300AFXZA-Certified-Refurbished/dp/B07G8N33P8/ref=pd_rhf_dp_s_pop_srecs_sabr_1_3/130-6926442-8388540?_encoding=UTF8&pd_rd_i=B07G8N33P8&pd_rd_r=ac1123d3-f42c-4d65-aafb-e6e99a8e0a85&pd_rd_w=LUytw&pd_rd_wg=a8d6r&pf_rd_p=0d95006f-c338-4c7d-b2ce-9329f0ff78ca&pf_rd_r=X7K8ZE78GV2PFKJHSGCH&psc=1&refRID=X7K8ZE78GV2PFKJHSGCH#customerReviews
28,"Jensen JE3217 32"" LED AC Television with Integrated HDTV (ATSC) Tuner and Remote Control, 1366 x 768 WXGA+ Resolution, HDTV Ready (1080p, 720p, & 480p), High Performance Wide 16:9 LCD panel, 110V AC ",TV,https://www.amazon.com/dp/B073HVJ9XX/ref=sspa_dk_detail_7?psc=1#customerReviews
29,"Sceptre 65"" Class 4K (2160P) LED TV (U650CV-U) ",TV,https://www.amazon.com/Sceptre-Class-2160P-LED-U650CV-U/dp/B078HM2CBP/ref=sr_1_8?crid=3DOM3ZOSDXIER&keywords=smart+tv+4k&qid=1553180533&s=electronics&sprefix=smart+tv%2Celectronics%2C448&sr=1-8#customerReviews
30,Echo Spot Adjustable Stand - White ,Speaker,https://www.amazon.com/Echo-Spot-Adjustable-Stand-White/dp/B06ZZNLSLX/ref=cm_cr_arp_d_product_top?ie=UTF8
31,"Bose Home Speaker 500 with Alexa voice control built-in, Black",Speaker,https://www.amazon.com/Bose-Speaker-Alexa-control-built/dp/B07FDF9B46/ref=sr_1_3?keywords=speaker+alexa&qid=1553271506&s=gateway&sr=8-3#customerReviews
32,"Bose Wave SoundTouch Music System IV, works with Alexa, Espresso Black ",Speaker,https://www.amazon.com/Bose-SoundTouch-Music-System-Espresso/dp/B011IH6M50/ref=cm_cr_arp_d_product_sims?ie=UTF8
33,"Echo Dot (3rd Gen) - Smart speaker with Alexa, now with improved sound and design - Charcoal ",Speaker,https://www.amazon.com/All-new-Echo-Dot-3rd-Gen/dp/B0792KTHKJ
