,rating,testimony,itemId,userId,testimony_check
5000,4,The TV is excellent and weighs about 10 lbs. You have to register it using a code. I tried doing so with my phone but it didn't work. So I called a number on the registering app - Turns out I must have entered the website wrong and then dialed a scam number. This guy told me I needed to pay $99 to register the TV. I said not a chance bozo I'll read the manual and send it back If I have to pay anything else with the TV. I called the number in the manual and the woman said there is no cost to register the TV and that the first number must have been a scam.,24,401,pos
5001,1,"This TV had no picture. I think it was from the screen having a huge crack in it. Yes, I am sure that's it. I think one feature that it lacks is some sort of protection before I opened it, but I can't talk about that, per Amazon's rules. Yet, having an adequate cushion is very important. Very disappointed. I love my other Roku TVs from TCL but this one was doomed. TCL should rework this feature.",24,402,neg
5002,4,"I got 3 of these 40"" TV's for the bedrooms at $199 plus tax and I am very pleased with them. Great picture, easy set up and an over all great value. They do have Roku built in so you do have to go thru some steps at Roku.com/link to set up your Roku account. If you already have an account it's even easier. There was no problem connecting to my WIFI and navigating with the remote is pretty simple.",24,403,pos
5003,5," was looking for something nice for my room that was reasonably priced. I'm so happy I found this tv. The smart portion is very easy to use and the setup took about 20 min fairly quick. I use Netflix, YouTube and I have my direct TV on here also. The picture is very clear and I got a little soundbar to go with it. Nice bang for my buck. This is a great TV for a small room. I got the 40 for my living room and the 32 for my room. :) 32 is pictured!",24,404,pos
5004,1,DO NOT BUY THIS TV ITS NOT WORTH IT. It doesn't connect to WiFi and if it does Everytime it is turned on you'll have to re connect it yourself or wait an hour for it to auto connect. Now remember this is if you can get it to connect at all. When you call the makers of the TV on their support line their 1 and only solution was to unplug the TV and plug it back in. Awful customer service. Awful product. Awful everything. Don't waste your money buy from a better brand. Even at 200$ it's not worth it because for them to call it a smart TV is false. I'm sending it back in getting my money back.,24,405,neg
5005,5,"A nightmare to active TV . As soon as I went to the website to activate tv my phone blew up with people saying I can help you active , but you must create an account first. So I did and could not complete activation until I provided my credit card. Needless to say I did not provide that and 2 hours later finally tv was activated. Obvious i was being scammed because it does not cost anything to activate. Beware of scammers from Roku!",24,406,pos
5006,3,"The tv is only about 35 inches, not 40",24,407,neu
5007,3,I liked this at first but now it’s requiring an update and will not update. It’s stuck in a verification loop and now all I can watch is antenna tv. If I wanted I wouldn’t have bought a smart tv.,24,408,neu
5008,3,"The remote on this model feels cheaper than the 52"" model (which we have in the living room). There's a noticeable difference in the quality. If you're looking for a cheap TV I recommend this one but if you pay for the next model up you'll get what you pay for with the higher quality peripheral.",24,409,pos
5009,2,"Very reasonable value, but I can't get the remote to communicate with the tv. There is a clear piece of plastic on the bottom of the tv in the center. Is that supposed to be removed? Customer support is not available on the weekend",24,410,pos
5010,5,"We love this TV ... We bought the 24 inch TV and linked to to an Alexa device for the Kitchen as it fits under the cabinet. I linked it to our Echo Alexa device and it works great! For kitchen use, 720p is perfectly adequate, and it looks fantastic. I am thinking about getting a keyboard and mouse for it in order to make it easier to find recipes,",25,411,pos
5011,1,"Beyond disappointing. Purchased this TV solely to have linked to my echo for the hands free voice control. It works for about 30 minutes, and then will proceed to tell me it ""doesnt support that"". I've run the gamut of factory reset, un plug, un link etc. Nothing works and Amazon customer service has no fix for me. I feel like I wasted my money, so to you I say save your money and buy a better quality smart TV for the same price. I will change this review if they ever fix this and decide to help me",25,412,neg
5012,5,Perfect size for my kitchen wall and with a swing arm I can turn it and watch cooking shows from the kitchen island. Very happy with the TV and set up.,25,413,pos
5013,1,I received 100% damaged TV. Very disappointed!,25,414,neg
5014,4,"So wanted just a cute little tv for my room and this size is perfect, love the remote I can do Alexa or just go straight to Netflix. Has options for cable and hdmi I really only use it for Netflix,Spotify, and hbo. Only downfall is that sometimes on Hulu or hbo it will lose sound or just randomly go back to the home screen which is a tad annoying but besides that sounds good and picture is amazing!! Worth it for me!!",25,415,pos
5015,4,"I didn't even turn the TV on. Once I unpacked it I realized it had holes for a 100x200 VESA mount. However my wall mount doesn't support that. Given that my wall mount is more expensive than the TV, I'm returning the TV. My mistake, I should have checked first.",25,416,neg
5016,4,So far so good. I bought this from my son to be used a video game tv for his bedroom. So far no complaints from him. Setting it up was a chore. We are cord cutters so there isn’t any cable boxes to hook up but I did have a lot of apps to sign into to. That took some time 😁 It took me sometime to figure out how to get to the actual App Store and not just featured apps and some of the games are very expensive for an app. $15 for final fantasy. Most games average $3 or $5. The picture quality and sound are fine for a bedroom tv. I wouldn’t recommend it for a main room tv unless you plan on using a sound bar. I have his TV set at 30 for volume and it’s not too loud. I only paid $100 for this tv and to me that was a heck of a bargain. He is happy and that makes me happy 😊I paid $4 I believe for a 4 year warranty so this tv should last awhile.,25,417,pos
5017,3,I give it 3 stars because I didn't like how it was exposed at my front door it wasn't covered so everybody knew it was a TV I also didn't like the smell It still smells like battery I had to open my doors and windows because it was so strong but other than that I really like it.,25,418,neu
5018,3,"Love the TV!! However, not happy with the amazon fire! Was not compatible with our WiFi. We were fed up after nothing would load, so I purchased Roku ultra! Wow!! What a difference! Now we’re happy!! I have given a 3 star only bc of having to spend additional money for the Roku. Otherwise, the TV is a 5 star!!",25,419,pos
5019,3,"Picture is pretty decent, easy to use, sound is good. Only issue I have had so far is that it freezes up sometimes, or the sound stops working periodically and requires the TV to he reset.",25,420,pos
5020,1,"Terrible refurbished tv. The top of the unit was not even put together, Tv never did work, just got strange lines over part of the screen. Returned immediately.",26,421,neg
5021,5,"We use this product for a monitor in our business office, we like our customers to see what's going on in the shop and all the property around it.",26,422,pos
5022,2,All black colors have different shades,26,423,neu
5023,1,Returned because it was broken and we got refunded. No problem on return.,26,424,neg
5024,1,"this is a damaged tv...clear picture, head on only ...look a tiny bit to view left or right...instead of head on...a halo of grey film covers screen. very disappointed and out $200+ do not buy from this seller.",26,425,neg
5025,1,the product never turned on.... For the money it is listed at your better off not buying it and find a LG that works better than this one did.,26,426,neu
5026,5,"Works great, no packaging issues.",26,427,pos
5027,1,Older unit maybe 2010-2014. Also didn't send the legs. So I had to mount it out of obligation.,26,428,neu
5028,1,TV is not turning on for any reason,26,429,neg
5029,1,I would not recommend it due to issues among many things,26,430,neg
5030,3,"I'm sure the product itself is great. It had a wonderful picture and the sound was okay, not excellent. I have a nice sound bar that's more than made up for it. I bought factory refurbished. The TV would just shut off every now and again. Sometimes after it shut off the only way to get it to turn back on was to unplug it from the electricity, hold the power button for 5 seconds, plug it back into the electricity and then turn it back on. I know that trick because of an issue I had with a previous television. I ended up sending it back and not getting another one. I put my Vizio D32f-F1 back up on the mount. The picture quality is not quite the same but it's a bedroom TV. Again, I'm sure the product itself is great but even though I'm a firm believer in certified refurbished to help save the planet I just didn't want to go there again for this particular item.",27,431,neu
5031,5,Great picture. I also use it as a second computer monitor. Netflix and Amazon Prime have a great image.,27,432,pos
5032,5,Is full myself for watching TV,27,433,neu
5033,1,Yea the tv is terrible its showing a white line the top of it,27,434,neg
5034,5,Great picture and easy to install in our RV!,28,435,pos
5035,5,All I can ask for. Well... I would have liked to have a optical cable connection for the sound bar.,28,436,pos
5036,5,Great for rv,28,437,pos
5037,5,Mine just arrived a few minutes ago (6 days before even tthe earliest projected delivery date)!! This TV 📺 l(physically) ooks awesome! I plan to leave an actual review here very soon and update it as time passes for everyone to find out how it performs and holds up with time!,29,438,pos
5038,5,"Seems very good for the price. Blacks are very black, which is good.",29,439,pos
5039,5,"For the price, the picture is awesome. There is nothing fancy about this TV. It is not a smart TV, but it works and looks fantastic in our waiting room. Patients love it. They sit quite a distance from the TV but the quality of sound is good.",29,440,pos
5040,5,So far so good. Looks great! Picture is great!,29,441,pos
5041,4,i had tv for 10 months and lost pic and sound mfd warrenty is still in effect plus extended walmart warrenty so far mfd has had 3 mails back and forth and no tv replacement yet i do believe they will stand behind the product it seems like a good unit time will tell update coming on results,29,442,pos
5042,4,"My only complaint is the sound quality. Play with the settings and it sounds better but still lacking. The picture is good, but there is some white around the edges of the screen on a blank screen. Once the move starts they are not noticeable anymore. Overall $500 is a good deal so far!",29,443,neu
5043,5,I have been with echo from the beginning and I was disappointed when I opened up my new spot. Of which i had purchased 4 of them and I had specifically wanted them for sound quality as well as the screen and the speakers are on the lower side not the bottom. BUT... when you put this very well built and weighted magnetic connector to the bottom all of a sudden the sound bounces off of this perfectly round circle and spreads out through the Room to sound in for Beautiful so it's kind of like buying a Mustang and not taking it out of 1st a gear unless you buy this piece. You are limiting the sound quality of a beautiful beautiful machine. In short order one Today.,30,1,pos
5044,5,"I was really annoyed I had to spend another $20 on this stand, but I really love it. The ability to position my Spot is helpful. The stand has a nice weight to it and has the same non-slip material that is on the bottom of the Spot. I was very pleased that it magnets so the connection feels very secure. Think the sound is better when on the stand as well. In the end it’s worth the extra $20!",30,2,pos
5045,4,"Made well, makes spot sound better but should be $10.00 max. Amazon is starting to get greedy!",30,3,neu
5046,3,"It's perfect for my Echo Spot, but the only reason why I gave it a 3-star is because of the price, I believe $20 is too expensive. It should have been included with the Echo Spot for free.",30,4,pos
5047,3,"For some reason I thought I could move it left an right...nope. It only moves up and down. Not much else out there so I guess I'll keep it. Magnetic connection to base. So, don't be too hard moving it around.",30,5,pos
5048,3,"I love it, it just seems crazy that it’s $20 for something that should just be included in the original product if it was work $5-10 more... ",30,6,pos
5049,5,A must have add-on for the Spot. The tilt function makes it much easier to view when lying in bed.,30,7,pos
5050,1,"It works, but it should cost $2, not $20.",30,8,pos
5051,1,Save your money. It doesn’t work. Will not hold your echo,30,9,neg
5052,3,"It is very responsive and I like the screen display the drop in feature is ok, the camera resolution is sub-par and the audio is very laggy, I use this to check on my mom and there is no nit vision on this camera. But I do think it is listening to everything because after I got this I am getting major spam, also I had to buy a stand this stupid design has the camera facing up to the damn ceiling so if you want to check on something counter height you need a stand!",30,10,neg
5053,5,"The new Bose Home 500 offers the best sound I have heard in small speaker and Alexa is a fine addition. My Bose is next to an Apple Home and I like the Bose sound much better. The Bose also displays album covers and other information. I easily activated Tune-in Radio, Spotify and Amazon music APPS.",31,35,pos
5054,2,Downloaded the manual. Tried following the instructions on Wi-Fi set up but Bose App does not correspond to the manual's instructions. Been working this all day.,31,36,neg
5055,2,"It sounds great but you can’t says Alexa play whatever from Spotify. You have to use the bose app to play from Spotify. Dealbreaker for me, since I want voice control",31,37,neu
5056,1,"This speaker looks great, and sounds great, when it works. Unfortunately, it doesn’t work as advertised. It connects to Bluetooth just fine. But so do all Bose wireless speakers. The real selling point of this speaker was it’s seamless connection to multiple music services. That capability is a disaster. My Bose Speaker 500 was extremely difficult to connect to WiFi. Just setting up the speaker was extremely frustrating. It required multiple attempts to connect to the Bose Music app, and I mean I tried dozens of times. The app is horrible, the connection to the device is horrible. And I haven’t even started to discuss how awful the music service playback works. It absolutely refuses to play SiriusXM. Nothing I do works. That was a primary reason I purchased this device, and at this point I’ve given up trying to connect to Sirius. It won’t even play music from my Amazon Prime account, that should work easily through Alexa. No such luck for me. Other elements of Alexa work ok. It will tell me what the temperature is outside, so I’ve got that going for me. Of course, that’s not why I spent $400. It’s a complete waste of money. Do not waste your money on this awful product.",31,38,neg
